asin,title,trend_score,trend_label,sales_growth,review_growth,bsr_improvement,price_value,price_currency,rating,ratings_total,is_prime,is_amazon_choice,is_best_seller,collected_at
B0BQPNMXQV,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-Free Call with VoiceAware, Up to 32 Hours of Battery Life (Black)",51.0,➡️ 稳定发展,30,100.0,30,29.94,$,4.3,36211,False,False,False,2026-03-27T03:42:01.667966
B079JLY5M5,"Logitech MK270 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia and Shortcut Keys, 2-Year Battery Life, for PC, Laptop - Black",51.0,➡️ 稳定发展,30,100.0,30,24.99,$,4.5,107831,False,False,False,2026-03-27T03:42:01.667977
B004YAVF8I,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Swift Grey",51.0,➡️ 稳定发展,30,100.0,30,12.99,$,4.5,41042,False,False,False,2026-03-27T03:42:01.667980
B015NBTAOW,"TECKNET Wireless Mouse, 2.4G Ergonomic Optical Mouse, Computer Mouse for Laptop, PC, Computer, Chromebook, Notebook, 6 Buttons, 24 Months Battery Life, 2600 DPI, 5 Adjustment Levels - Purple",51.0,➡️ 稳定发展,30,100.0,30,9.99,$,4.5,76817,False,False,False,2026-03-27T03:42:01.667985
B0DGJ7HYG1,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive, Transparency Mode, Personalized Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",51.0,➡️ 稳定发展,30,100.0,30,148.99,$,4.5,45170,False,False,False,2026-03-27T03:42:01.667990
B087Z5WDJ2,"Logitech M510 Wireless Mouse, 2.4 GHz with USB Unifying Receiver, 1000 DPI Laser-Grade Tracking, 7-Buttons, 24-Months Battery Life, PC/Mac/Laptop - Graphite",51.0,➡️ 稳定发展,30,100.0,30,27.99,$,4.6,34641,False,False,False,2026-03-27T03:42:01.667992
B07CMS5Q6P,"Logitech G305 Lightspeed Wireless Gaming Mouse, Hero Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery, On-Board Memory, Compatible with PC, Mac - Black",51.0,➡️ 稳定发展,30,100.0,30,26.99,$,4.6,37710,False,False,False,2026-03-27T03:42:01.667996
B0BS1RT9S2,"Sony WH-CH520 Wireless Headphones Bluetooth On-Ear Headset with Microphone and up to 50 Hours Battery Life with Quick Charging, Blue",51.0,➡️ 稳定发展,30,100.0,30,48.0,$,4.5,30836,False,False,False,2026-03-27T03:42:01.668007
B089KV4YYX,"Logitech MK295 Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise - Graphite",48.28,➡️ 稳定发展,30,90.92666666666666,30,32.95,$,4.4,13639,False,False,False,2026-03-27T03:42:01.667999
B0DGV4T6BK,Jemluse Wireless CarPlay Adapter for Apple iPhone - Multi-User Seamless Connection for Convert Wired to Wireless Car Play Adapter - No Latency from iOS 10+ to Screen w/USB C (Gray),48.06,➡️ 稳定发展,50,63.54666666666667,30,28.49,$,4.4,9532,False,False,False,2026-03-27T03:42:01.667983
B08R8DT7X6,"Logitech G435 Lightspeed & Bluetooth Wireless Gaming Headset - Lightweight Over-Ear Headphones, Built-in mics, 18h Battery, Dolby Atmos, PC, PS4, PS5, Nintendo Switch/Switch 2, Mobile - Black",42.62,➡️ 稳定发展,30,72.06,30,39.99,$,4.2,10809,False,False,False,2026-03-27T03:42:01.668002
B0F5HPCLGB,"acer Wireless Mouse for Laptop, 2.4GHz Computer Mouse 3 Adjustable DPI Office Cordless USB Mice with USBA Receiver, 6 Buttons, 1600 DPI, Medium to Large Sized Hands Compatible with PC, Laptop, Desktop",41.63,➡️ 稳定发展,50,42.11,30,9.47,$,4.5,4211,False,False,False,2026-03-27T03:42:01.668005
B0FBGG142J,OEAK Womens Wireless Jelly Bra Plus Size Supportive Seamless Bras Full Coverage Push Up Comfortable No Underwire Tshirt Bras,37.65,⚠️ 增长放缓,50,28.84,30,18.99,$,4.1,4326,False,False,False,2026-03-27T03:42:01.668011
B0FHWK3W1S,"Anker Prime 3-in-1 Wireless Charging Station, MagSafe Charger Stand Compatible, Qi2 25W Certified Palm-Sized Foldable Charger for iPhone 17/16, Apple Watch, AirPods (Non-Battery, Adapter Included)",37.39,⚠️ 增长放缓,70,1.3,30,104.99,$,4.6,130,False,False,False,2026-03-27T03:42:01.668009
B0G6CNF8RM,"Wireless Earbuds, Sports Bluetooth Headphones, 80Hrs Playtime Ear Buds with LED Power Display, Noise Canceling Headset, IPX7 Waterproof Earphones for Workout/Running（Rose Gold）",33.35,⚠️ 增长放缓,50,14.5,30,22.79,$,4.5,1450,False,False,False,2026-03-27T03:42:01.667988
B0CRKS96NS,JOYO Wireless Guitar System 5.8GHz Wireless Guitar Transmitter Receiver with Charging Box 4 Signal Channel for Guitar Bass Electric Instruments (JW-06),31.37,⚠️ 增长放缓,50,7.906666666666666,30,55.99,$,4.3,1186,False,False,False,2026-03-27T03:42:01.667994
