asin,title,trend_score,trend_label,sales_growth,review_growth,bsr_improvement,price_value,price_currency,rating,ratings_total,is_prime,is_amazon_choice,is_best_seller,collected_at
B0CGCMS31N,"OtterBox iPhone 16e, 15, 14, & 13 Commuter Series Case - Black, Slim & Tough, Pocket-Friendly, with Port Protection",54.34,➡️ 稳定发展,50,84.47,30,24.97,$,4.6,8447,False,False,False,2026-03-27T03:42:15.553531
B0BQPNMXQV,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-Free Call with VoiceAware, Up to 32 Hours of Battery Life (Black)",51.0,➡️ 稳定发展,30,100.0,30,29.94,$,4.3,36211,False,False,False,2026-03-27T03:42:09.890790
B0DD41G2NZ,"TOZO NC9 Hybrid Active Noise Cancelling Wireless Earbuds, 6 Mics ENC Clear Call, IPX8 Waterproof, in Ear Bluetooth 5.3 Headphones Stereo Bass Ear Buds 60H Playtime with LED Display 32 EQs via APP",51.0,➡️ 稳定发展,30,100.0,30,27.99,$,4.3,44366,False,False,False,2026-03-27T03:42:09.890794
B095T14D4S,"Raycon Everyday Classic Bluetooth Wireless Earbuds + Microphone with Active Noise Canceling, Sweat & Water-Resistant Earphones, Ear Buds Wireless Bluetooth 32 Hours Playtime (Black)",51.0,➡️ 稳定发展,30,100.0,30,67.99,$,4.3,29553,False,False,False,2026-03-27T03:42:09.890797
B0FHWLZLCV,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Laptop/Phones, Rose Gold",51.0,➡️ 稳定发展,30,100.0,30,21.98,$,4.5,54509,False,False,False,2026-03-27T03:42:09.890802
B09LD2D1TV,TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Ear buds with Mic for TV Smart Phone Laptop Computer Sports,51.0,➡️ 稳定发展,30,100.0,30,25.99,$,4.4,84278,False,False,False,2026-03-27T03:42:09.890805
B0D9VS4PV7,"SUPFINE Magnetic for iPhone 14 Case & iPhone 13 Case (Compatible with MagSafe)(Military Grade Drop Protection) Translucent Matte Shockproof Phone Cover,Black",51.0,➡️ 稳定发展,30,100.0,30,9.99,$,4.6,58334,False,False,False,2026-03-27T03:42:15.553523
B0DFH8SNK5,FNTCASE for iPhone 15 Case: for iPhone 14 Case & iPhone 13 Case [Compatible with Magsafe] Translucent Matte Magnetic Phone Cover - Military Grade Drop Protection Shockproof Protective Cases - Pink,51.0,➡️ 稳定发展,30,100.0,30,8.99,$,4.5,23554,False,False,False,2026-03-27T03:42:15.553537
B0B7C9SPSF,"OtterBox iPhone 14 & iPhone 13 Commuter Series Case - BLACK , slim & tough, pocket-friendly, with port protection",51.0,➡️ 稳定发展,30,100.0,30,19.88,$,4.6,11343,False,False,False,2026-03-27T03:42:15.553539
B0CFVDX4HT,FNTCASE for iPhone 15 Case Clear: iPhone 14/13 Case Magnetic Phone Cases with Screen Protector Compatible with Magsafe Slim Anti Yellowing Rugged Protective Transparent Cell Cover (A-Clear),51.0,➡️ 稳定发展,30,100.0,30,6.99,$,4.7,26351,False,False,False,2026-03-27T03:42:15.553546
